City, Time, Temperature, Condition

Chennai, 2022-03-06 09:00:00, 27.99, light rain
Chennai, 2022-03-06 12:00:00, 27.39, broken clouds
Chennai, 2022-03-06 15:00:00, 27.18, broken clouds
Chennai, 2022-03-06 18:00:00, 26.4, overcast clouds
Chennai, 2022-03-06 21:00:00, 26.07, broken clouds
Chennai, 2022-03-07 00:00:00, 26.02, broken clouds
Chennai, 2022-03-07 03:00:00, 27.95, scattered clouds
Chennai, 2022-03-07 06:00:00, 29.02, broken clouds
Chennai, 2022-03-07 09:00:00, 28.92, overcast clouds
Chennai, 2022-03-07 12:00:00, 27.75, overcast clouds
Chennai, 2022-03-07 15:00:00, 26.78, overcast clouds
Chennai, 2022-03-07 18:00:00, 26.42, overcast clouds
Chennai, 2022-03-07 21:00:00, 25.9, scattered clouds
Chennai, 2022-03-08 00:00:00, 25.47, scattered clouds
Chennai, 2022-03-08 03:00:00, 27.17, broken clouds
Chennai, 2022-03-08 06:00:00, 29.31, scattered clouds
Chennai, 2022-03-08 09:00:00, 29.17, clear sky
Chennai, 2022-03-08 12:00:00, 27.79, few clouds
Chennai, 2022-03-08 15:00:00, 26.6, clear sky
Chennai, 2022-03-08 18:00:00, 26.09, clear sky
Chennai, 2022-03-08 21:00:00, 25.52, clear sky
Chennai, 2022-03-09 00:00:00, 24.85, clear sky
Chennai, 2022-03-09 03:00:00, 26.07, clear sky
Chennai, 2022-03-09 06:00:00, 29.22, clear sky
Chennai, 2022-03-09 09:00:00, 29.25, clear sky
Chennai, 2022-03-09 12:00:00, 27.84, scattered clouds
Chennai, 2022-03-09 15:00:00, 26.5, broken clouds
Chennai, 2022-03-09 18:00:00, 26.07, scattered clouds
Chennai, 2022-03-09 21:00:00, 25.52, scattered clouds
Chennai, 2022-03-10 00:00:00, 24.46, few clouds
Chennai, 2022-03-10 03:00:00, 26.17, few clouds
Chennai, 2022-03-10 06:00:00, 29.52, scattered clouds
Chennai, 2022-03-10 09:00:00, 29.41, broken clouds
Chennai, 2022-03-10 12:00:00, 27.78, overcast clouds
Chennai, 2022-03-10 15:00:00, 26.57, overcast clouds
Chennai, 2022-03-10 18:00:00, 25.98, overcast clouds
Chennai, 2022-03-10 21:00:00, 24.87, broken clouds
Chennai, 2022-03-11 00:00:00, 23.74, broken clouds
Chennai, 2022-03-11 03:00:00, 25.8, broken clouds
Chennai, 2022-03-11 06:00:00, 29.29, overcast clouds
Ooty, 2022-03-06 09:00:00, 21.07, overcast clouds
Ooty, 2022-03-06 12:00:00, 20.25, overcast clouds
Ooty, 2022-03-06 15:00:00, 16.5, overcast clouds
Ooty, 2022-03-06 18:00:00, 11.7, broken clouds
Ooty, 2022-03-06 21:00:00, 9.29, clear sky
Ooty, 2022-03-07 00:00:00, 9.09, clear sky
Ooty, 2022-03-07 03:00:00, 15.63, broken clouds
Ooty, 2022-03-07 06:00:00, 20.68, scattered clouds
Ooty, 2022-03-07 09:00:00, 21.66, broken clouds
Ooty, 2022-03-07 12:00:00, 17.62, broken clouds
Ooty, 2022-03-07 15:00:00, 13.22, light rain
Ooty, 2022-03-07 18:00:00, 11.43, light rain
Ooty, 2022-03-07 21:00:00, 10.36, light rain
Ooty, 2022-03-08 00:00:00, 10.03, overcast clouds
Ooty, 2022-03-08 03:00:00, 14.95, broken clouds
Ooty, 2022-03-08 06:00:00, 21.23, broken clouds
Ooty, 2022-03-08 09:00:00, 18.14, light rain
Ooty, 2022-03-08 12:00:00, 17.52, light rain
Ooty, 2022-03-08 15:00:00, 13.21, light rain
Ooty, 2022-03-08 18:00:00, 11.98, light rain
Ooty, 2022-03-08 21:00:00, 10.73, scattered clouds
Ooty, 2022-03-09 00:00:00, 10.04, scattered clouds
Ooty, 2022-03-09 03:00:00, 15.12, broken clouds
Ooty, 2022-03-09 06:00:00, 21.12, broken clouds
Ooty, 2022-03-09 09:00:00, 21.61, broken clouds
Ooty, 2022-03-09 12:00:00, 20.03, broken clouds
Ooty, 2022-03-09 15:00:00, 15.18, broken clouds
Ooty, 2022-03-09 18:00:00, 12.61, broken clouds
Ooty, 2022-03-09 21:00:00, 10.93, broken clouds
Ooty, 2022-03-10 00:00:00, 10.34, overcast clouds
Ooty, 2022-03-10 03:00:00, 16.28, overcast clouds
Ooty, 2022-03-10 06:00:00, 22.12, overcast clouds
Ooty, 2022-03-10 09:00:00, 22.43, broken clouds
Ooty, 2022-03-10 12:00:00, 20.21, broken clouds
Ooty, 2022-03-10 15:00:00, 14.26, light rain
